,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
751,Get Out,(I) (2017),104 min,7.7,85,"553,615",$176.04M,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
752,Mission: Impossible - Fallout,-2018,147 min,7.7,86,"318,122",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
753,Perfetti sconosciuti,-2016,96 min,7.7,N/A,"63,389",N/A,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
754,En man som heter Ove,-2015,116 min,7.7,70,"52,998",$3.36M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
755,What We Do in the Shadows,-2014,86 min,7.7,76,"175,699",$3.33M,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
756,Omoide no Mânî,-2014,103 min,7.7,72,"38,530",$0.77M,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
757,Sicario,-2015,121 min,7.7,82,"411,996",$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
758,The Theory of Everything,-2014,123 min,7.7,71,"436,832",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
759,Kingsman: The Secret Service,-2014,129 min,7.7,60,"645,812",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
760,The Fault in Our Stars,-2014,126 min,7.7,69,"366,445",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
761,Me and Earl and the Dying Girl,-2015,105 min,7.7,74,"129,411",$6.74M,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
762,Birdman or (The Unexpected Virtue of Ignorance),-2014,119 min,7.7,87,"614,035",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
763,Le passé,-2013,130 min,7.7,85,"48,272",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
764,La grande bellezza,-2013,141 min,7.7,86,"88,435",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
765,La vie d'Adèle,-2013,180 min,7.7,89,"148,323",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
766,The Broken Circle Breakdown,-2012,111 min,7.7,70,"40,855",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
767,Toy Story 4,-2019,100 min,7.7,84,"234,750",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
768,Nebraska,-2013,115 min,7.7,87,"116,787",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
769,Wreck-It Ralph,-2012,101 min,7.7,72,"408,009",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
770,Le Petit Prince,-2015,108 min,7.7,70,"60,839",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
771,Detachment,-2011,98 min,7.7,52,"83,131",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
772,Midnight in Paris,-2011,94 min,7.7,81,"413,146",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
773,Kokuhaku,-2010,106 min,7.7,N/A,"38,319",N/A,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
774,Ajeossi,-2010,119 min,7.7,N/A,"68,083",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
775,The Lego Movie,-2014,100 min,7.7,83,"343,090",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
776,Gravity,-2013,91 min,7.7,96,"807,506",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
777,Star Trek Into Darkness,-2013,132 min,7.7,72,"477,736",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
778,Beasts of No Nation,-2015,137 min,7.7,79,"79,671",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
779,X: First Class,-2011,131 min,7.7,65,"675,824",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
780,The Hangover,-2009,100 min,7.7,73,"761,959",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
781,Silver Linings Playbook,-2012,122 min,7.7,81,"694,825",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
782,Druk,-2020,117 min,7.7,79,"137,420",N/A,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
783,Argo,-2012,120 min,7.7,86,"601,700",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
784,(500) Days of Summer,-2009,95 min,7.7,76,"499,321",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
785,Harry Potter and the Deathly Hallows: Part 1,-2010,146 min,7.7,65,"525,527",$295.98M,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
786,Frost/Nixon,-2008,122 min,7.7,80,"107,003",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
787,Papurika,-2006,90 min,7.7,81,"79,746",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
788,Flipped,(I) (2010),90 min,7.7,45,"88,315",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
789,Toki o kakeru shôjo,-2006,98 min,7.7,N/A,"64,712",N/A,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
790,This Is England,-2006,101 min,7.7,86,"120,717",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
791,Ex Machina,-2014,108 min,7.7,78,"520,182",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
792,Efter brylluppet,-2006,120 min,7.7,78,"34,228",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
793,The Last King of Scotland,-2006,123 min,7.7,74,"183,654",$17.61M,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
794,Zodiac,-2007,157 min,7.7,78,"517,691",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
795,Lucky Number Slevin,-2006,110 min,7.7,53,"309,318",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
796,Joyeux Noël,-2005,116 min,7.7,70,"29,553",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
797,Control,-2007,122 min,7.7,78,"64,464",$0.87M,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23."
798,Adams æbler,-2005,94 min,7.7,51,"49,772",$0.00M,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
799,Watchmen,-2009,162 min,7.7,56,"536,926",$107.51M,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
800,Zwartboek,-2006,145 min,7.7,71,"76,019",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
801,Brokeback Mountain,-2005,134 min,7.7,87,"347,507",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
802,Vera Drake,-2004,125 min,7.7,83,"25,243",$3.75M,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.
803,3:10 to Yuma,-2007,122 min,7.7,76,"304,293",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
804,Kung fu,-2004,99 min,7.7,78,"135,875",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
805,The Bourne Supremacy,-2004,108 min,7.7,73,"454,914",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
806,The Machinist,-2004,101 min,7.7,61,"379,341",$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
807,Ray,(I) (2004),152 min,7.7,73,"145,423",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
808,Lost in Translation,-2003,102 min,7.7,89,"442,095",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
809,Harry Potter and the Goblet of Fire,-2005,157 min,7.7,81,"601,463",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
810,Man on Fire,-2004,146 min,7.7,47,"353,921",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
811,Coraline,-2009,100 min,7.7,80,"216,946",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
812,The Magdalene Sisters,-2002,114 min,7.7,83,"27,014",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
813,21 Grams,-2003,124 min,7.7,70,"233,642",$16.29M,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
814,Finding Neverland,-2004,106 min,7.7,67,"204,116",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
815,Good Bye Lenin!,-2003,121 min,7.7,68,"144,146",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
816,In America,-2002,105 min,7.7,76,"42,822",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
817,The Butterfly Effect,-2004,113 min,7.7,30,"477,289",$57.94M,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
818,Adaptation.,-2002,115 min,7.7,83,"189,032",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
819,Black Hawk Down,-2001,144 min,7.7,74,"386,420",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
820,Road to Perdition,-2002,117 min,7.7,72,"261,987",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
821,Das Experiment,-2001,120 min,7.7,60,"93,202",$0.14M,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
822,Billy Elliot,-2000,110 min,7.7,74,"132,961",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
823,Hedwig and the Angry Inch,-2001,95 min,7.7,85,"35,136",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
824,The Count of Monte Cristo,-2002,131 min,7.7,61,"135,733",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
825,Y tu mamá también,-2001,106 min,7.7,88,"121,150",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
826,Waking Life,-2001,99 min,7.7,83,"63,335",$2.89M,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
827,Ocean's Eleven,-2001,116 min,7.7,74,"553,861",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
828,"O Brother, Where Art Thou?",-2000,107 min,7.7,69,"304,143",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
829,Minority Report,-2002,145 min,7.7,80,"537,126",$132.07M,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
830,"South Park: Bigger, Longer & Uncut",-1999,81 min,7.7,73,"201,433",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
831,Office Space,-1999,89 min,7.7,68,"258,380",$10.82M,Three company workers who hate their jobs decide to rebel against their greedy boss.
832,Happiness,-1998,134 min,7.7,81,"69,396",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
833,The Boondock Saints,-1999,108 min,7.7,44,"236,104",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
834,Training Day,-2001,122 min,7.7,69,"420,589",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
835,Lola rennt,-1998,81 min,7.7,77,"196,221",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
836,Abre los ojos,-1997,119 min,7.7,N/A,"68,400",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
837,Ta'm e guilass,-1997,95 min,7.7,80,"29,287",$0.31M,An Iranian man drives his truck in search of someone who will quietly bury him under a cherry tree after he commits suicide.
838,As Good as It Gets,-1997,139 min,7.7,67,"293,065",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
839,Hana-bi,-1997,103 min,7.7,N/A,"30,062",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
840,The Fifth Element,-1997,126 min,7.7,52,"460,087",$63.54M,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
841,Donnie Brasco,-1997,127 min,7.7,76,"298,048",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
842,Chun gwong cha sit,-1997,96 min,7.7,70,"27,605",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
843,Shine,-1996,105 min,7.7,87,"53,708",$35.81M,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
844,Primal Fear,-1996,129 min,7.7,47,"206,693",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
845,Sense and Sensibility,-1995,136 min,7.7,84,"112,664",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
846,Apollo 13,(I) (1995),140 min,7.7,77,"287,575",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
847,Clerks,-1994,92 min,7.7,70,"219,000",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
848,Short Cuts,-1993,188 min,7.7,79,"44,369",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
849,Philadelphia,-1993,125 min,7.7,66,"236,868",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
850,The Muppet Christmas Carol,-1992,85 min,7.7,64,"57,268",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
851,Malcolm X,-1992,202 min,7.7,73,"92,679",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
852,The Last of the Mohicans,-1992,112 min,7.7,76,"164,514",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
853,Kurenai no buta,-1992,94 min,7.7,83,"86,268",N/A,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
854,Glengarry Glen Ross,-1992,100 min,7.7,82,"103,018",$10.73M,An examination of the machinations behind the scenes at a real estate office.
855,A Few Good Men,-1992,138 min,7.7,62,"253,989",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
856,Night on Earth,-1991,129 min,7.7,68,"59,375",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
857,Fried Green Tomatoes,-1991,130 min,7.7,64,"72,947",$82.42M,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
858,La double vie de Véronique,-1991,98 min,7.7,86,"47,264",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
859,Yume,-1990,119 min,7.7,N/A,"25,927",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
860,Miller's Crossing,-1990,115 min,7.7,66,"133,212",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
861,Home Alone,-1990,103 min,7.7,63,"549,276",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
862,When Harry Met Sally...,-1989,95 min,7.7,76,"211,594",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
863,Who Framed Roger Rabbit,-1988,104 min,7.7,83,"195,408",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
864,Spoorloos,-1988,107 min,7.7,N/A,"37,901",N/A,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
865,The Last Emperor,-1987,163 min,7.7,76,"100,802",$43.98M,The story of the final Emperor of China.
866,Evil Dead II,-1987,84 min,7.7,72,"158,719",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
867,Empire of the Sun,-1987,153 min,7.7,62,"123,136",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
868,Der Name der Rose,-1986,130 min,7.7,54,"106,997",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
869,Down by Law,-1986,107 min,7.7,75,"50,818",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
870,Blue Velvet,-1986,120 min,7.7,76,"193,514",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
871,The Purple Rose of Cairo,-1985,82 min,7.7,75,"50,904",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world."
872,The Goonies,-1985,114 min,7.7,62,"263,004",$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
873,The Color Purple,-1985,154 min,7.7,78,"84,716",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
874,Zelig,-1983,79 min,7.7,N/A,"41,689",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
875,The Verdict,-1982,129 min,7.7,77,"39,433",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
876,Star Trek II: The Wrath of Khan,-1982,113 min,7.7,67,"118,860",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
877,First Blood,-1982,93 min,7.7,61,"244,329",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
878,Airplane!,-1980,88 min,7.7,78,"231,400",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
879,Halloween,-1978,91 min,7.7,87,"263,825",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
880,Nashville,-1975,160 min,7.7,96,"25,835",$14.82M,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
881,Love and Death,-1975,85 min,7.7,89,"38,060",N/A,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
882,The Taking of Pelham One Two Three,-1974,104 min,7.7,68,"29,950",$2.49M,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?"
883,Blazing Saddles,-1974,93 min,7.7,73,"135,425",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
884,Serpico,-1973,130 min,7.7,87,"119,775",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
885,La planète sauvage,-1973,72 min,7.7,73,"29,776",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
886,Deliverance,-1972,109 min,7.7,80,"105,986",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
887,The French Connection,-1971,104 min,7.7,94,"119,614",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
888,Dirty Harry,-1971,102 min,7.7,87,"152,592",$35.90M,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
889,The Odd Couple,-1968,105 min,7.7,86,"34,322",$44.53M,"A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day."
890,Wait Until Dark,-1967,108 min,7.7,81,"30,052",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
891,The Dirty Dozen,-1967,150 min,7.7,73,"71,520",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
892,Belle de jour,-1967,100 min,7.7,N/A,"43,489",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
893,A Man for All Seasons,-1966,120 min,7.7,72,"34,006",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
894,Zulu,-1964,138 min,7.7,77,"38,557",N/A,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
895,Goldfinger,-1964,110 min,7.7,87,"185,772",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
896,The Birds,-1963,119 min,7.7,90,"183,978",$11.40M,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
897,The Longest Day,-1962,178 min,7.7,75,"54,925",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
898,Cape Fear,-1962,106 min,7.7,76,"28,627",N/A,A lawyer's family is stalked by a man he once helped put in jail.
899,Jules et Jim,-1962,105 min,7.7,97,"40,642",N/A,Decades of a love triangle concerning two friends and an impulsive woman.
900,The Magnificent Seven,-1960,128 min,7.7,74,"93,311",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
901,À bout de souffle,-1960,90 min,7.7,N/A,"79,235",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
902,Invasion of the Body Snatchers,-1956,80 min,7.7,92,"48,551",N/A,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
903,Rebel Without a Cause,-1955,111 min,7.7,89,"88,814",N/A,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
904,The Caine Mutiny,-1954,124 min,7.7,63,"27,231",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
905,The Quiet Man,-1952,129 min,7.7,85,"37,782",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
906,The African Queen,-1951,105 min,7.7,91,"77,415",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
907,Fantasia,-1940,125 min,7.7,96,"94,037",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
908,The Invisible Man,-1933,71 min,7.7,87,"34,074",N/A,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
909,Scarface,-1932,93 min,7.7,87,"27,446",N/A,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
910,Dark Waters,-2019,126 min,7.6,73,"82,119",N/A,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
911,Searching,(III) (2018),102 min,7.6,71,"157,801",$26.02M,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
912,Once Upon a Time in... Hollywood,-2019,161 min,7.6,83,"675,749",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
